License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2505821,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,EVA ZACZYNSKI,EVAS EUROPEAN SWEETS,1305 MILTON AVENUE,,SYRACUSE,NY,13204,828186,,3/25/2015,2/28/2017,43.05949329,-76.1993704,"(43.05949329, -76.1993704)"
2505828,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,L A S OF SYRACUSE INC,LUIGIS PIZZA/SANDWICH SHOP,1524 VALLEY DRIVE,,SYRACUSE,NY,13207,816670,,10/1/2015,9/30/2017,43.00297821,-76.15326647,"(43.00297821, -76.15326647)"
2505832,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,ANTHONY P GARUCCIO,HOF BRAU HAUS,NYS FAIR GROUNDS,INTL BAZAAR 10 & 11,SYRACUSE,NY,13209,827399,8/15/2013,2/1/2015,1/31/2017,0,0,"(0.0, 0.0)"
2505834,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,J T'S INN INC,ERNIES LAKELAND CAFE,779 STATE FAIR BLVD,T/O GEDDES,SYRACUSE,NY,13209,827855,3/9/1999,3/1/2015,2/28/2017,43.08752321,-76.23809267,"(43.08752321, -76.23809267)"
2505845,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,AEK4EVER LTD,ACROPOLIS PIZZA,167 MARSHALL STREET,,SYRACUSE,NY,13210,816903,,10/1/2015,9/30/2017,43.04164986,-76.13518502,"(43.04164986, -76.13518502)"
2505849,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,TRIANDRIAN INC,DORIANS GOURMET DELI/PIZZA,534 WESTCOTT STREET,,SYRACUSE,NY,13210,816838,9/30/1993,9/1/2015,8/31/2017,43.04084233,-76.11935886,"(43.04084233, -76.11935886)"
2505850,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,VARSITY COFFEE SHOP & REST INC,VARSITY,802 S CROUSE AVE,,SYRACUSE,NY,13210,816756,,10/1/2015,9/30/2017,43.04154169,-76.1367255,"(43.04154169, -76.1367255)"
2505860,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,CHINA PAVILION RESTAURANT INC,CHINA PAVILION RESTAURANT,2318 W GENESEE STREET UNIT 5,,SYRACUSE,NY,13219,828466,,6/1/2015,5/31/2017,43.04723118,-76.20072358,"(43.04723118, -76.20072358)"
2505863,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,CHANTHASENSACK & SAYBANHA INC,ERAWAN THAI RESTAURANT,2724 ERIE BLVD E,,SYRACUSE,NY,13224,829570,,12/1/2015,11/30/2017,43.05441021,-76.09640349,"(43.05441021, -76.09640349)"
2505883,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,G & L DAVIS MEAT CO INC,G & L DAVIS MEAT CO,NYS FAIR SITES  909 & 910,T/O GEDDES,SYRACUSE,NY,13209,878634,3/16/2011,5/1/2016,10/31/2016,,,
2505890,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,GREGORY R HORAN,MAGIC,NYS FAIRGROUNDS SPACE #507,T/O GEDDES,SYRACUSE,NY,13209,877729,4/27/2011,8/1/2016,10/31/2016,,,
2505904,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,MIDWAY RESTAURANT INC,,619 STATE FAIR BLVD,SPACE 480 T/O GEDDES,SYRACUSE,NY,13209,881486,,7/21/2016,10/31/2016,,,
