"Establishment Number","Inspection Date","Time Orders Issued","Retention Of Food Equipment","Closure For Imminent Hazard","Closure For Cleaning","Disposed Of Food","Civil Penalty","Court Summons","Row Number",
"10043     ","6/17/2015 9:50:00 AM",0,0,0,0,1,0,0,81,
"1005      ","12/17/2001 12:00:00 AM",0,0,0,0,0,1,0,82,
"1005      ","12/14/2010 4:10:52 PM",0,0,0,0,1,0,0,83,
"1005      ","5/6/2013 2:32:25 PM",0,0,0,0,1,0,0,84,
"10050     ","8/19/2014 8:30:00 AM",1,0,0,0,1,0,0,85,
"10050     ","6/23/2015 5:00:10 PM",1,0,0,0,1,0,0,86,
"10050     ","6/29/2015 3:20:10 PM",0,0,0,0,1,0,0,87,
"10050     ","12/7/2015 10:20:10 AM",0,0,0,0,1,0,0,88,
"10050     ","12/10/2015 1:20:01 PM",0,0,0,0,1,0,0,89,
"10050     ","6/27/2016 12:58:10 PM",1,0,0,0,1,0,0,90,
"10055     ","2/27/2014 11:30:10 AM",1,0,0,0,1,0,0,91,
"10056     ","6/16/2014 4:45:00 PM",0,0,0,0,1,0,0,92,
"10056     ","12/22/2015 2:45:00 PM",0,0,0,0,1,0,0,93,
"10057     ","6/7/2016 12:50:25 PM",1,0,0,0,1,0,0,94,
"10059     ","12/16/2015 11:00:00 AM",0,0,0,0,1,0,0,95,
"1006      ","10/15/2007 12:30:00 PM",0,0,0,0,1,0,0,96,
"1006      ","3/12/2008 3:30:00 PM",0,0,1,0,1,0,0,97,
"1006      ","10/15/2008 12:00:00 AM",0,0,0,0,0,1,0,98,
"1006      ","10/12/2009 11:24:17 AM",1,0,0,0,0,0,0,99,
"1006      ","10/12/2010 3:46:57 PM",0,0,0,0,1,0,0,100,
"1006      ","3/14/2011 4:12:14 PM",0,0,0,0,1,0,0,101,
"1006      ","7/19/2011 4:05:37 PM",0,0,0,0,1,0,0,102,
"1006      ","4/21/2015 1:45:10 PM",0,0,0,0,1,0,0,103,
"10060     ","9/15/2015 7:15:00 AM",0,0,0,0,1,0,0,104,
"10060     ","6/21/2016 9:00:00 AM",0,0,0,0,1,0,0,105,
"10062     ","3/11/2015 12:10:00 PM",0,0,0,0,1,0,0,106,
"10062     ","9/4/2015 10:30:00 AM",0,0,0,0,1,0,0,107,
"10062     ","3/7/2016 1:35:00 PM",0,0,0,0,1,0,0,108,
"10064     ","12/11/2014 1:00:00 PM",0,0,0,0,1,0,0,109,
"10067     ","6/16/2014 11:45:00 AM",0,0,0,0,1,0,0,110,
"10067     ","2/12/2015 1:40:00 PM",0,0,0,0,1,0,0,111,
"1007      ","3/11/2014 5:00:00 PM",0,0,0,0,1,0,0,112,
"10073     ","12/19/2014 8:00:00 AM",0,0,0,0,1,0,0,113,
"10073     ","6/15/2015 8:30:00 AM",0,0,0,0,1,0,0,114,
"10074     ","6/16/2014 9:30:00 AM",1,0,0,0,0,0,0,115,
"10074     ","6/18/2015 10:10:00 AM",0,0,0,0,1,0,0,116,
