code,Frequency
4-501.11,0.420317072105516
6-501.12,0.32122112067083025
3-501.17,0.26282919159715246
4-601.11(B)(C),0.30549853692623485
4-601.11(A),0.2528715552255754
3-501.16(A)(2)(B),0.23509630082543564
2-102.12,0.2454033279468926
3-304.14,0.23243219635760143
4-602.13,0.23409180241953095
3-302.11,0.1778835655326025
